"Дата";"Регион название";"Больные";"Заражений";"Выздоровлений";"Выздоровлений за день";"Смертей";"Смертей за день";"Заражений за день";"Регион население"
16.03.2020;Алтайский край;0;0;0;0;0;0;0;16450560
16.03.2020;Амурская область;0;0;0;0;0;0;0;5588968
16.03.2020;Архангельская область;7;7;0;0;0;0;2;7777217
16.03.2020;Астраханская область;0;0;0;0;0;0;0;7122598
16.03.2020;Белгородская область;7;7;0;0;0;0;0;10849132
16.03.2020;Брянская область;1;1;0;0;0;0;1;8476874
16.03.2020;Владимирская область;0;0;0;0;0;0;0;9648359
16.03.2020;Волгоградская область;0;0;0;0;0;0;0;17648932
16.03.2020;Вологодская область;0;0;0;0;0;0;0;8236823
16.03.2020;Воронежская область;8;8;0;0;0;0;2;16336376
16.03.2020;Еврейская автономная область;0;0;0;0;0;0;0;1134098
16.03.2020;Забайкальский край;0;7;7;1;0;0;1;7509642
16.03.2020;Ивановская область;4;4;0;0;0;0;1;7102522
16.03.2020;Иркутская область;0;0;0;0;0;0;0;16829365
16.03.2020;Кабардино-Балкарская Республика;4;4;0;0;0;0;2;6060796
16.03.2020;Калининградская область;37;37;0;0;0;0;4;6962193
16.03.2020;Калужская область;6;6;0;0;0;0;1;7085092
16.03.2020;Камчатский край;0;0;0;0;0;0;0;2208899
16.03.2020;Карачаево-Черкесская Республика;0;0;0;0;0;0;0;3264135
16.03.2020;Кемеровская область (Кузбасс);14;14;0;0;0;0;0;18864139
16.03.2020;Кировская область;23;23;0;0;0;0;7;8982666
16.03.2020;Костромская область;0;0;0;0;0;0;0;4503268
16.03.2020;Краснодарский край;19;19;0;0;0;0;4;39223940
16.03.2020;Красноярский край;20;20;0;0;0;0;5;20135479
16.03.2020;Курганская область;2;2;0;0;0;0;1;5918759
16.03.2020;Курская область;0;0;0;0;0;0;0;7806659
16.03.2020;Ленинградская область;7;7;0;0;0;0;0;12696712
16.03.2020;Липецкая область;12;21;9;3;0;0;0;8051407
16.03.2020;Магаданская область;0;0;0;0;0;0;0;1008637
16.03.2020;Москва;726;751;25;7;0;0;156;87545276
16.03.2020;Московская область;135;137;2;1;0;0;26;52523695
16.03.2020;Мурманская область;4;4;0;0;0;0;1;5274899
16.03.2020;Ненецкий автономный округ;0;0;0;0;0;0;0;263982
16.03.2020;Нижегородская область;25;25;0;0;0;0;6;22643264
16.03.2020;Новгородская область;1;1;0;0;0;0;1;4245332
16.03.2020;Новосибирская область;15;15;0;0;0;0;4;19521943
16.03.2020;Омская область;0;0;0;0;0;0;0;13720567
16.03.2020;Оренбургская область;4;4;0;0;0;0;1;13844040
16.03.2020;Орловская область;0;0;0;0;0;0;0;5230729
16.03.2020;Пензенская область;6;6;0;0;0;0;1;9321585
16.03.2020;Пермский край;18;18;0;0;0;0;2;18361854
16.03.2020;Приморский край;0;0;0;0;0;0;0;13391259
16.03.2020;Псковская область;0;0;0;0;0;0;0;4455822
16.03.2020;Республика Адыгея;0;0;0;0;0;0;0;3173632
16.03.2020;Республика Алтай;0;0;0;0;0;0;0;872252
16.03.2020;Республика Башкортостан;0;0;0;0;0;0;0;28443051
16.03.2020;Республика Бурятия;0;0;0;0;0;0;0;6891577
16.03.2020;Республика Дагестан;0;0;0;0;0;0;0;21447195
16.03.2020;Республика Ингушетия;0;0;0;0;0;0;0;3416301
16.03.2020;Республика Калмыкия;0;0;0;0;0;0;0;1927891
16.03.2020;Республика Карелия;0;0;0;0;0;0;0;4357388
16.03.2020;Республика Коми;7;7;0;0;0;0;1;5886111
16.03.2020;Республика Крым;2;2;0;0;0;0;1;13396117
16.03.2020;Республика Марий Эл;0;0;0;0;0;0;0;4776331
16.03.2020;Республика Мордовия;0;0;0;0;0;0;0;5635392
16.03.2020;Республика Саха (Якутия);22;22;0;0;0;0;7;6750310
16.03.2020;Республика Северная Осетия — Алания;0;0;0;0;0;0;0;4912355
16.03.2020;Республика Татарстан;16;16;0;0;0;0;6;27259988
16.03.2020;Республика Тыва;0;0;0;0;0;0;0;2252054
16.03.2020;Республика Хакасия;6;6;0;0;0;0;1;3762591
16.03.2020;Ростовская область;0;0;0;0;0;0;0;29543164
16.03.2020;Рязанская область;6;6;0;0;0;0;2;7850318
16.03.2020;Самарская область;45;45;0;0;0;0;9;22354598
16.03.2020;Санкт-Петербург;68;82;14;1;0;0;11;37463545
16.03.2020;Саратовская область;4;4;0;0;0;0;1;17240650
16.03.2020;Сахалинская область;0;0;0;0;0;0;0;3431267
16.03.2020;Свердловская область;32;32;0;0;0;0;9;30276792
16.03.2020;Севастополь;0;0;0;0;0;0;0;3056690
16.03.2020;Смоленская область;0;0;0;0;0;0;0;6645436
16.03.2020;Ставропольский край;2;2;0;0;0;0;1;19604718
16.03.2020;Тамбовская область;14;14;0;0;0;0;3;7234864
16.03.2020;Тверская область;16;16;0;0;0;0;3;8987111
16.03.2020;Томская область;5;5;0;0;0;0;1;7547960
16.03.2020;Тульская область;16;16;0;0;0;0;5;10442985
16.03.2020;Тюменская область;10;17;7;0;0;0;2;10491453
16.03.2020;Удмуртская Республика;2;2;0;0;0;0;2;10591308
16.03.2020;Ульяновская область;3;3;0;0;0;0;1;8726326
16.03.2020;Хабаровский край;14;14;0;0;0;0;4;9298114
16.03.2020;Ханты-Мансийский автономный округ - Югра;6;6;0;0;0;0;2;11585518
16.03.2020;Челябинская область;2;2;0;0;0;0;1;24451252
16.03.2020;Чеченская Республика;0;0;0;0;0;0;0;10058867
16.03.2020;Чувашская Республика;4;4;0;0;0;0;1;8617819
16.03.2020;Чукотский автономный округ;0;0;0;0;0;0;0;296088
16.03.2020;Ямало-Ненецкий автономный округ;0;0;0;0;0;0;0;3769829
16.03.2020;Ярославская область;6;6;0;0;0;0;1;8859788
23.03.2020;Алтайский край;0;0;0;0;0;0;0;16450560
23.03.2020;Амурская область;1;1;0;0;0;0;1;5588968
23.03.2020;Архангельская область;19;19;0;0;0;0;1;7777217
23.03.2020;Астраханская область;0;0;0;0;0;0;0;7122598
23.03.2020;Белгородская область;8;8;0;0;0;0;1;10849132
23.03.2020;Брянская область;14;14;0;0;0;0;2;8476874
23.03.2020;Владимирская область;0;0;0;0;0;0;0;9648359
23.03.2020;Волгоградская область;15;15;0;0;0;0;4;17648932
23.03.2020;Вологодская область;0;0;0;0;0;0;0;8236823
23.03.2020;Воронежская область;38;38;0;0;0;0;4;16336376
23.03.2020;Еврейская автономная область;0;0;0;0;0;0;0;1134098
23.03.2020;Забайкальский край;0;7;7;0;0;0;0;7509642
23.03.2020;Ивановская область;20;20;0;0;0;0;6;7102522
23.03.2020;Иркутская область;1;1;0;0;0;0;1;16829365
23.03.2020;Кабардино-Балкарская Республика;24;24;0;0;0;0;2;6060796
23.03.2020;Калининградская область;55;60;5;1;0;0;4;6962193
23.03.2020;Калужская область;13;13;0;0;0;0;1;7085092
23.03.2020;Камчатский край;0;0;0;0;0;0;0;2208899
23.03.2020;Карачаево-Черкесская Республика;0;0;0;0;0;0;0;3264135
23.03.2020;Кемеровская область (Кузбасс);11;18;7;2;0;0;1;18864139
23.03.2020;Кировская область;49;53;4;2;0;0;2;8982666
23.03.2020;Костромская область;2;2;0;0;0;0;1;4503268
23.03.2020;Краснодарский край;70;71;1;1;0;0;12;39223940
23.03.2020;Красноярский край;37;55;18;3;0;0;7;20135479
23.03.2020;Курганская область;7;7;0;0;0;0;0;5918759
23.03.2020;Курская область;0;0;0;0;0;0;0;7806659
23.03.2020;Ленинградская область;29;29;0;0;0;0;8;12696712
23.03.2020;Липецкая область;19;40;21;0;0;0;6;8051407
23.03.2020;Магаданская область;0;0;0;0;0;0;0;1008637
23.03.2020;Москва;3913;4042;111;20;18;6;823;87545276
23.03.2020;Московская область;360;398;38;9;0;0;77;52523695
23.03.2020;Мурманская область;9;9;0;0;0;0;2;5274899
23.03.2020;Ненецкий автономный округ;0;0;0;0;0;0;0;307979
23.03.2020;Нижегородская область;55;60;5;1;0;0;4;22643264
23.03.2020;Новгородская область;9;9;0;0;0;0;2;4245332
23.03.2020;Новосибирская область;37;37;0;0;0;0;4;19521943
23.03.2020;Омская область;3;3;0;0;0;0;3;13720567
23.03.2020;Оренбургская область;25;26;0;0;1;1;5;13844040
23.03.2020;Орловская область;15;15;0;0;0;0;3;5230729
23.03.2020;Пензенская область;17;17;0;0;0;0;6;9321585
23.03.2020;Пермский край;53;53;0;0;0;0;8;18361854
23.03.2020;Приморский край;12;12;0;0;0;0;2;13391259
23.03.2020;Псковская область;28;28;0;0;0;0;6;4455822
23.03.2020;Республика Адыгея;2;2;0;0;0;0;1;3173632
23.03.2020;Республика Алтай;0;0;0;0;0;0;0;1526441
23.03.2020;Республика Башкортостан;24;24;0;0;0;0;5;28443051
23.03.2020;Республика Бурятия;20;20;0;0;0;0;8;6891577
23.03.2020;Республика Дагестан;3;3;0;0;0;0;1;21447195
23.03.2020;Республика Ингушетия;0;0;0;0;0;0;0;3416301
23.03.2020;Республика Калмыкия;0;0;0;0;0;0;0;1927891
23.03.2020;Республика Карелия;0;0;0;0;0;0;0;4357388
23.03.2020;Республика Коми;21;21;0;0;0;0;6;5886111
23.03.2020;Республика Крым;60;60;0;0;0;0;14;13396117
23.03.2020;Республика Марий Эл;0;0;0;0;0;0;0;4776331
23.03.2020;Республика Мордовия;7;7;0;0;0;0;3;5635392
23.03.2020;Республика Саха (Якутия);81;81;0;0;0;0;8;6750310
23.03.2020;Республика Северная Осетия — Алания;0;0;0;0;0;0;0;4912355
23.03.2020;Республика Татарстан;67;69;2;1;0;0;8;27259988
23.03.2020;Республика Тыва;0;0;0;0;0;0;0;2252054
23.03.2020;Республика Хакасия;11;11;0;0;0;0;1;3762591
23.03.2020;Ростовская область;8;8;0;0;0;0;2;29543164
23.03.2020;Рязанская область;15;15;0;0;0;0;1;7850318
23.03.2020;Самарская область;81;83;2;1;0;0;5;22354598
23.03.2020;Санкт-Петербург;165;189;23;3;1;1;26;37463545
23.03.2020;Саратовская область;9;9;0;0;0;0;1;17240650
23.03.2020;Сахалинская область;8;8;0;0;0;0;4;3431267
23.03.2020;Свердловская область;122;123;1;1;0;0;15;30276792
23.03.2020;Севастополь;15;15;0;0;0;0;5;3056690
23.03.2020;Смоленская область;2;2;0;0;0;0;1;6645436
23.03.2020;Ставропольский край;24;24;0;0;0;0;4;19604718
23.03.2020;Тамбовская область;21;21;0;0;0;0;0;7234864
23.03.2020;Тверская область;19;21;2;2;0;0;0;8987111
23.03.2020;Томская область;11;12;1;1;0;0;2;7547960
23.03.2020;Тульская область;54;54;0;0;0;0;6;10442985
23.03.2020;Тюменская область;15;22;7;0;0;0;1;10491453
23.03.2020;Удмуртская Республика;20;20;0;0;0;0;2;10591308
23.03.2020;Ульяновская область;7;7;0;0;0;0;0;8726326
23.03.2020;Хабаровский край;34;34;0;0;0;0;3;9298114
23.03.2020;Ханты-Мансийский автономный округ - Югра;23;23;0;0;0;0;3;11585518
23.03.2020;Челябинская область;35;35;0;0;0;0;11;24451252
23.03.2020;Чеченская Республика;20;20;0;0;0;0;9;10058867
23.03.2020;Чувашская Республика;7;7;0;0;0;0;0;8617819
23.03.2020;Чукотский автономный округ;0;0;0;0;0;0;0;345436
23.03.2020;Ямало-Ненецкий автономный округ;0;0;0;0;0;0;0;3769829
23.03.2020;Ярославская область;11;11;0;0;0;0;2;8859788
30.03.2020;Алтайский край;28;28;0;0;0;0;7;16450560
30.03.2020;Амурская область;13;13;0;0;0;0;3;5588968
30.03.2020;Архангельская область;49;52;3;3;0;0;5;7777217
30.03.2020;Астраханская область;21;21;0;0;0;0;5;7122598
30.03.2020;Белгородская область;41;41;0;0;0;0;5;10849132
30.03.2020;Брянская область;61;61;0;0;0;0;16;8476874
30.03.2020;Владимирская область;13;19;0;0;6;1;3;9648359
30.03.2020;Волгоградская область;46;48;2;1;0;0;4;17648932
30.03.2020;Вологодская область;63;63;0;0;0;0;13;8236823
30.03.2020;Воронежская область;66;78;12;4;0;0;8;16336376
30.03.2020;Еврейская автономная область;9;9;0;0;0;0;3;1134098
30.03.2020;Забайкальский край;0;7;7;0;0;0;0;7509642
